"artist","link"
Afroditi Manou,https://open.spotify.com/playlist/5YnxoEDTUCes7hXkBUN0LL?si=b0fcb063f6a24f64
Akis Panou,https://open.spotify.com/playlist/5apSp7NyHQHT8Q4Qyus66P?si=a4229f92e88a40a1
Alexandros Emmanouilidis,https://open.spotify.com/playlist/2DvTwswPQh75JnKuWjP6g1?si=4daac92760fc4b50
Alkinoos Ioannidis,https://open.spotify.com/playlist/5qhSrQ6Q6OWsKq4ryvZJaQ?si=169ac61a6a9b4d61
Alkis Alkaios,https://open.spotify.com/playlist/1A94lvCZShJwpBw2t3ZaoC?si=8488bd3f910f4020
Alkistis Protopsalti,https://open.spotify.com/playlist/498GdQmxN1qClY0V3sV1gX?si=09b0ce66a9534830
Apostolos Rizos,https://open.spotify.com/playlist/1L5balEVKhoJuf9nmdlznT?si=1a1332780c984bf5
Arleta,https://open.spotify.com/playlist/2jty7OCn7PGNA7Xa94hoDq?si=bc97e322cc1647ee
Cafe Aman Amerika,https://open.spotify.com/playlist/6BJsWO7noLm1YNK34WyjVF?si=086591079b5541f4
Christos Leontis,https://open.spotify.com/playlist/6cpMFFHq2V6z8tR8o02quV?si=3eb5979f03e645e0
Christos Thivaios,https://open.spotify.com/playlist/2oruSjmEUfLQ9ulKZkeuGv?si=1e45046b9d104d06
Danai Panagiotopoulou,https://open.spotify.com/playlist/6L1aASXCVt6i9nFFxUb2eP?si=f8548d27dd7743bd
Diafana Krina,https://open.spotify.com/playlist/2euUbODwl5oTN45aGI4WHR?si=7583932bfa234acf
Dimitra Galani,https://open.spotify.com/playlist/2dKDogvhkLRk5IwnNrDDU9?si=6193fd8dcdb4454b
Dimitris Karras,https://open.spotify.com/playlist/6lZrhSWw7bQHwAE5Vmihlw?si=313483fd742a454f
Dimitris Lagios,https://open.spotify.com/playlist/36xRisNUxP65enqWRIe22Q?si=4521f91198884c10
Dimitris Mitropanos,https://open.spotify.com/playlist/00H5dgraeXmZ7OtKbEtVe8?si=39238e15a4ba49ac
