,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,valence,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Gia Pia Ellada,14 Megala Tragoudia - Afroditi Manou,Afroditi Manou,2006-01-01,258079,2,0.576,0.691,0.315,0.308,9.41e-06,0.13,-9.918,0.0363,118.93,4
1,Nychterini Ekpompi,Nychterini Ekpompi,Afroditi Manou,2007-11-08,184973,22,0.766,0.037,0.844,0.968,0.0119,0.273,-9.164,0.0276,132.134,4
2,San Ti Mousiki,Nychterini Ekpompi,Afroditi Manou,2007-11-08,206720,1,0.474,0.534,0.516,0.28,4.56e-06,0.123,-8.839,0.0287,64.272,4
3,Skini Zilotypias,Nychterini Ekpompi,Afroditi Manou,2007-11-08,179986,2,0.799,0.387,0.707,0.769,0.0,0.0492,-9.558,0.0321,126.919,4
4,S.A.S. - Skotadi pano ap' tin Athina,Nychterini Ekpompi,Afroditi Manou,2007-11-08,204106,1,0.776,0.245,0.682,0.912,0.0,0.101,-8.294,0.0301,127.357,4
5,Gkazi - Tavros,Nychterini Ekpompi,Afroditi Manou,2007-11-08,247173,1,0.587,0.49,0.532,0.55,1.76e-06,0.108,-9.55,0.0241,96.56,3
6,O Alafroiskiotos,Nychterini Ekpompi,Afroditi Manou,2007-11-08,228026,0,0.482,0.474,0.453,0.318,0.0,0.163,-9.783,0.0294,105.91,4
7,Aspromavri Zoi,Nychterini Ekpompi,Afroditi Manou,2007-11-08,147346,0,0.738,0.298,0.646,0.945,7.14e-06,0.0757,-8.995,0.0807,112.121,4
8,Ston Kathrefti,Nychterini Ekpompi,Afroditi Manou,2007-11-08,233306,1,0.643,0.357,0.67,0.912,0.000729,0.13,-8.805,0.0248,140.434,4
9,Ma Poios Eisai Telos Panton,Nychterini Ekpompi,Afroditi Manou,2007-11-08,144906,1,0.608,0.562,0.621,0.877,0.0,0.152,-6.909,0.035,200.958,4
10,Alkool Kai Giasemi,Nychterini Ekpompi,Afroditi Manou,2007-11-08,159453,0,0.471,0.532,0.579,0.156,0.00486,0.157,-8.424,0.0264,90.316,4
11,Kai Pou 'Sai Akoma,Nychterini Ekpompi,Afroditi Manou,2007-11-08,153746,0,0.538,0.457,0.6,0.812,0.000952,0.167,-9.798,0.0316,140.031,4
12,Vavel,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,227960,0,0.763,0.244,0.439,0.731,0.0,0.218,-10.725,0.0421,139.924,4
13,Gia Pia Ellada,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,260200,0,0.598,0.654,0.251,0.302,1.11e-05,0.088,-13.51,0.0379,120.236,4
14,Mesanihta Stin Porta Sou,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,236373,0,0.476,0.315,0.329,0.454,0.0,0.271,-12.304,0.0342,115.03,4
15,Mou To 'Pan Magi Dekatris,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,163093,0,0.733,0.473,0.352,0.821,0.0,0.186,-12.73,0.0406,143.723,1
16,Superman,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,346973,0,0.34,0.258,0.25,0.0718,0.0,0.136,-13.994,0.0309,140.266,4
17,Treli Ti Kathese Ke Les,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,199800,0,0.662,0.482,0.28,0.532,0.0,0.278,-13.272,0.033,105.032,4
18,Aristera Stin Edem,Pou Pas Karavaki Me Tetion Kero,Afroditi Manou,1994-11-08,219826,1,0.516,0.347,0.372,0.619,0.0,0.119,-12.398,0.0337,133.501,4
